Index,Peak indices,P Peak Time,Q Peak Time,R Peak Time,S Peak Time,T Peak Time,P_ml2_Ampli,Q_ml2_Ampli,R_ml2_Ampli,S_ml2_Ampli,T_ml2_Ampli,P_v5_Ampli,Q_v5_Ampli,R_v5_Ampli,S_v5_Ampli,T_v5_Ampli,diff_T_S,diff_R_P,diff_R_next_R,diff_RQ_SR,diff_T_Q,diff_T_P,diff_T_R,label
100_1,77,0.0,172.22222224341883,213.8888889152137,255.55555558700857,569.44444451453,0.0,-35.7237370976692,89.64969811633466,-29.032371762340627,5.95230461394159,0.0,-21.006910474802567,39.42493289771622,-16.940684595805227,6.26644432112214,313.8888889275214,213.8888889152137,813.8888889890599,83.33333334358974,397.22222227111115,569.44444451453,355.55555559931634,N
100_2,370,875.0000001076924,986.1111112324788,1027.7777779042735,1072.2222223541885,1366.666666834872,8.891229842335425,-44.827566488032005,114.15463248959824,-40.602792401507145,6.847508182188001,5.041654084030361,-18.811208852608704,48.23883241359319,-19.853335917567072,8.849020096254831,294.4444444806836,152.77777779658118,811.1111112109404,86.11111112170965,380.55555560239327,491.66666672717975,338.88888893059857,N
100_3,662,1708.33333354359,1800.0000002215386,1838.888889115214,1883.3333335651284,2161.1111113770944,9.084532602280818,-39.19300851435354,100.62294702618324,-31.929321229900765,5.816243594186727,5.574953908542816,-24.61176240274869,64.82081375283907,-23.58126049612336,8.943751758536724,277.77777781196596,130.55555557162393,788.8888889859829,83.33333334358986,361.1111111555558,452.7777778335044,322.22222226188046,N
100_4,946,2488.888889195214,2588.888889207521,2627.777778101197,2675.000000329231,2947.2222225849578,8.397494959078793,-44.86331732889768,98.87223636852173,-30.557084762245317,5.064766113253974,5.424794086539445,-29.26636936911222,62.344677337632895,-21.149028788348076,7.342127698388437,272.2222222557266,138.8888889059831,791.6666667641025,86.11111112171011,358.3333333774367,458.333333389744,319.4444444837609,N
100_5,1231,3250.0000004000003,3380.5555559716245,3419.4444448652994,3463.888889315214,3744.4444449052994,6.848598300021045,-31.86937820462979,89.13937453495242,-29.88372792447428,6.009913549497959,4.237418031082467,-14.68410014381993,37.47605859708848,-15.281821233952682,7.461227285114889,280.55555559008553,169.44444446529906,788.8888889859827,83.3333333435894,363.88888893367493,494.4444445052991,325.00000004000003,N
100_6,1515,4066.66666716718,4169.444444957608,4208.333333851282,4250.000000523078,4538.888889447522,8.479904849449156,-36.18038416415271,95.2066882638449,-30.602659822685688,6.596150684153225,3.3516014548111457,-15.62303358090783,38.96451753520456,-16.475022615322338,8.533759511677923,288.8888889244445,141.66666668410198,816.6666667671798,80.55555556547006,369.44444448991453,472.22222228034207,330.5555555962401,N
100_7,1809,4855.555556153163,4986.1111117247865,5025.000000618462,5069.444445068377,5366.66666732718,8.194448536375647,-40.76491092758948,104.195986213807,-33.621628205121205,5.7666164082012,3.7533030770803073,-24.49311123205598,64.204014811062,-25.59150276745552,9.512102864550489,297.2222222588034,169.44444446529906,652.7777778581203,83.33333334359031,380.5555556023937,511.1111111740174,341.66666670871837,N
100_8,2044,5516.666667345642,5638.888889582907,5677.777778476582,5722.222222926496,6025.000000741539,9.391586176663504,-39.68921047191993,99.56514762529687,-32.45783142012238,3.761331264328347,0.1079534585211856,-23.036325237517403,55.31696817840707,-20.809733972795676,5.406533570947806,302.777777815043,161.11111113094012,994.4444445668378,83.3333333435894,386.1111111586324,508.33333339589717,347.22222226495705,A
100_9,2402,6538.888889693676,6633.333334149745,6672.22222304342,6716.666667493334,7041.666667533335,6.7072753235151845,-43.38261452904909,109.20678642136475,-38.440654879161926,8.019392173494381,3.1465878242243264,-17.30225186727023,51.51733675733858,-20.586891598194647,7.7414275666725905,325.0000000400014,133.33333334974395,844.4444445483759,83.3333333435894,408.3333333835908,502.7777778396594,369.44444448991544,N
100_10,2706,7372.222223129574,7475.000000920001,7516.666667591796,7561.11111204171,7858.333334300513,7.052988355914775,-39.33456326955621,100.91722715945096,-34.35365784822544,5.415653180951944,5.173098505787609,-20.79394336536992,45.71325776517665,-20.914081075366976,5.841698086517808,297.2222222588034,144.44444446222224,811.1111112109402,86.11111112170875,383.33333338051216,486.1111111709397,341.66666670871746,N
100_11,2998,8194.444445452993,8286.11111213094,8327.777778802736,8369.444445474532,8658.333334398976,9.016624527086735,-36.00344351606535,96.19736037716676,-30.79365556087769,5.101344086006242,5.721251216163719,-22.866659722736184,49.14447254862026,-22.71653016401248,7.158400909824172,288.8888889244445,133.33333334974304,788.8888889859845,83.33333334359122,372.2222222680357,463.8888889459831,330.5555555962401,N
100_12,3282,8955.555556657779,9077.777778895044,9116.66666778872,9161.111112238634,9450.000001163078,8.745010263324032,-35.23200353551199,89.89671688367144,-28.89302899188267,5.789433873265282,3.912103027620561,-20.01094951533284,47.82013949384625,-17.2943011388389,5.413534201501668,288.8888889244445,161.11111113094194,772.222222317263,83.3333333435894,372.2222222680339,494.44444450529954,333.3333333743576,N
100_13,3560,9722.222223418805,9847.22222343419,9888.888890105984,9930.55555677778,10227.777779036582,8.257102648200785,-33.855594439311226,90.02216699490836,-30.193965280724285,6.313420093691883,4.147269628523642,-14.08665446127836,29.229471888406422,-14.674900149714114,6.92454396753571,297.2222222588025,166.6666666871788,838.8888889921363,83.3333333435894,380.5555556023919,505.5555556177769,338.8888889305981,N
100_14,3862,10583.333334635898,10688.888890204444,10727.77777909812,10772.222223548037,11063.8888902506,5.991610491947501,-39.66093393010169,101.95186117090569,-34.86889421661984,5.180773263331873,3.528945483357415,-23.74662128176323,60.9005674242526,-23.60614307704675,8.531645454151557,291.6666667025638,144.44444446222224,855.555555660856,83.33333334359304,375.00000004615686,480.5555556147028,336.1111111524806,N
100_15,4170,11427.777779184276,11544.4444458653,11583.333334758976,11627.777779208893,11919.444445911457,7.432933776085657,-46.16998971649864,102.35326032415908,-33.35018808561841,4.682080419290149,5.031022518828374,-27.48736314322669,60.90601200985783,-23.68335699273541,8.736401064847724,291.6666667025638,155.5555555746996,822.2222223234185,83.33333334359304,375.00000004615686,491.6666667271802,336.1111111524806,N
100_16,4466,12266.66666817641,12363.8888904106,12405.555557082394,12447.22222375419,12744.444446012993,7.237946637774784,-36.21097757922445,93.06937911942984,-32.18791344390262,5.820847912447694,2.975208029905621,-16.858481589326786,35.705640119163895,-16.852154534560512,7.058397327459563,297.2222222588025,138.88888890598355,827.7777778796572,83.3333333435894,380.5555556023919,477.77777783658166,338.8888889305981,N
100_17,4764,13063.888890496752,13194.444446068375,13233.333334962052,13277.777779411968,13583.333335005129,8.319932849016471,-38.60714862654672,99.82978556268915,-33.7128121895227,5.845339304781633,3.940610814236252,-18.31877429434388,47.63950470053026,-17.837217578106088,7.578473102205572,305.55555559316053,169.44444446529997,822.2222223234203,83.33333334359304,388.8888889367536,519.4444445083773,350.0000000430773,N
100_18,5060,13888.888890598291,14016.666668391796,14055.555557285472,14100.000001735389,14375.000001769233,8.685944465295082,-38.0346767552199,100.8072133779319,-34.06902416868368,5.459019486488353,4.435473442304,-23.47231912840707,62.21142511574924,-25.33181492185569,8.86073618747795,275.0000000338441,166.66666668718062,794.4444445422196,83.33333334359304,358.33333337743716,486.1111111709415,319.4444444837609,N
100_19,5346,14722.222224034187,14811.11111293402,14850.000001827691,14894.444446277608,15202.77777964889,7.844320804503146,-35.44279266589478,90.79363482742832,-28.67252531372191,5.178072491800464,5.211743320468789,-21.80324028124584,53.28464456075699,-20.35164411601858,5.071357992470476,308.3333333712817,127.77777779350436,797.2222223203444,83.33333334358758,391.6666667148693,480.5555556147028,352.77777782119847,N
100_20,5633,15505.555557463931,15605.55555747624,15647.222224148036,15691.66666859795,15975.000001966157,9.897249244773384,-52.85232843822996,122.28084835796466,-44.98995424599101,6.850096157106294,5.731251875660158,-25.37285656896266,63.70136676380501,-25.734175134373995,8.179832278680871,283.3333333682058,141.6666666841047,791.666666764102,86.11111112171056,369.44444448991635,469.44444450222545,327.77777781812074,N
100_21,5918,16302.777779784275,16400.000002018463,16438.888890912138,16483.333335362055,16766.666668730257,7.544952385721839,-35.76901077239869,97.39032001037428,-32.763735067012654,5.5720148743472935,4.209243577366857,-18.487180383859773,50.13287174172996,-20.68213938436765,9.297883745055096,283.33333336820215,136.1111111278624,822.2222223234203,83.33333334359122,366.66666671179337,463.8888889459813,327.7777778181189,N
100_22,6214,17083.3333354359,17222.222224341884,17261.111113235558,17305.55555768547,17619.444446612993,6.647608341504734,-42.48551631967693,108.6120371254749,-35.13523956917671,5.411298847164426,3.176230555988588,-26.18631581350861,67.2539286497543,-27.043234373380848,7.537585259430791,313.8888889275222,177.77777779965982,869.4444445514528,83.33333334358758,397.2222222711098,536.1111111770952,358.33333337743534,N
100_23,6527,17980.555557768548,18091.666668893336,18130.55555778701,18172.222224458805,18472.22222449573,6.826274415387251,-41.2716345925227,100.49830753664776,-32.3934090782104,6.573828883183269,4.656552704525963,-20.780209988785344,51.93212924300057,-23.61757345411148,6.881344831564972,300.0000000369255,150.00000001846274,822.2222223234203,80.55555556546824,380.5555556023937,491.666666727182,341.6666667087193,N
100_24,6823,18786.11111342325,18913.888891216757,18952.77778011043,18997.222224560344,19283.33333570667,7.46185888953923,-40.18457416003045,98.49464391680092,-32.9655401158622,6.753758840739876,4.918646467874718,-18.26626282375472,43.79013762073927,-17.178680762137375,7.3686255282895825,286.11111114632513,166.66666668718244,786.1111112078615,83.33333334358758,369.4444444899127,497.2222222834207,330.55555559623826,N
100_25,7106,19563.88889129676,19697.2222246465,19738.888891318293,19780.555557990087,20066.66666913641,7.5188790723748,-38.77140445561536,101.57909957898832,-33.52593328450902,5.305249701070352,4.01167738122054,-21.01859302236152,46.17378003014536,-21.0569008624673,8.577474275010443,286.11111114632513,175.0000000215332,791.6666667641075,83.33333334358758,369.4444444899127,502.7777778396521,327.7777778181189,N
100_26,7391,20394.44444695453,20488.8888914106,20530.5555580824,20577.77778031043,20647.22222476342,10.03785375955433,-57.83286470346901,129.10256948969914,-47.83053027215901,6.246850320403095,6.4797800783770905,-32.247278868850685,80.76611568291567,-32.96583166817911,3.90950329207692,69.44444445299087,136.11111112786966,775.0000000953805,88.88888889982991,158.33333335282077,252.77777780888937,116.6666666810197,N
100_27,7670,21172.22222482804,21266.666669284103,21305.55555817778,21347.22222484957,21630.55555821778,7.493561302476518,-38.36581166207297,95.57598943771058,-30.841877174293863,4.36235977415679,5.509680292113121,-18.976800614157348,41.56456244466991,-18.99382176489436,7.514419827176086,283.3333333682094,133.3333333497394,786.1111112078579,80.55555556546824,363.88888893367766,458.333333389739,325.0000000399996,N
100_28,7953,21933.33333603282,22050.00000271385,22091.66666938564,22133.33333605744,22430.55555831624,6.803524329390704,-37.245153549086346,99.49847664652144,-32.17235265023765,6.05682249629858,5.933118079687316,-17.458207921634635,36.88518819060861,-17.15283172833463,7.752836331378796,297.22222225879887,158.33333335281714,811.1111112109465,83.33333334359122,380.5555556023901,497.22222228341707,338.88888893059993,N
100_29,8245,22766.66666946872,22863.888891702907,22902.777780596585,22950.000002824618,23241.66666952718,8.227513069044624,-49.42589048821627,112.7376509849875,-39.42040928207236,5.178590195692239,6.249381282673405,-27.297247142878906,72.45767012120979,-27.46676493745315,8.6460299327208,291.6666667025638,136.11111112786602,816.666666767178,86.11111112171056,377.7777778242744,475.0000000584623,338.8888889305963,N
100_30,8539,23572.22222512342,23680.55555847009,23719.444447363763,23761.11111403556,24050.00000296,8.343227624860937,-38.59814971408731,100.28978129666044,-32.28233591883136,5.5687753911375655,6.053057481881828,-22.34015394314211,55.56137570835464,-23.99104449231884,9.148581317912402,288.88888892444083,147.2222222403434,827.7777778796626,80.55555556547188,369.4444444899127,477.77777783658166,330.55555559623826,N
100_31,8837,24405.55555855932,24508.333336349748,24547.222225243426,24588.888891915216,24905.555558620857,7.638192920966056,-38.61103520963192,96.49717220116146,-31.477505082466124,4.754343223698992,4.737919877833115,-18.3765356378286,42.669338389354095,-18.040479501159385,6.109972612221613,316.66666670564155,141.6666666841047,844.444444548375,80.55555556546824,397.2222222711098,500.0000000615364,358.3333333774317,N
100_32,9141,25219.44444754838,25352.777780898123,25391.6666697918,25433.33333646359,25722.222225388035,7.450469336537631,-39.61300034275887,105.29450523245367,-36.07315565759916,7.601188352215537,3.8111384619762463,-16.270031799734824,44.87048335260975,-18.89244312501932,8.885484639065163,288.8888889244445,172.22222224342113,805.555555654697,80.55555556546824,369.4444444899127,502.77777783965576,330.5555555962346,N
100_33,9431,26066.666669874878,26155.555558774704,26197.222225446498,26241.66666989641,26530.55555882086,10.165920637788329,-51.35749106411068,130.2823905896535,-46.13366412112202,6.027021541457255,6.114205018752294,-33.83849729957827,82.0983681848807,-33.23961327598902,7.9339412877207165,288.8888889244481,130.55555557162006,775.0000000953805,86.11111112170693,375.00000004615504,463.8888889459813,333.33333337436125,N
100_34,9710,26836.11111441402,26933.333336648207,26972.22222554188,27016.6666699918,27305.555558916243,9.12018805618367,-37.45227914180147,96.08197646255222,-30.428365186203543,3.749602388288145,5.781598710333348,-22.91301971425933,53.527820391122965,-20.428266701697897,6.385039921035277,288.8888889244445,136.11111112785875,800.0000000984655,83.33333334359122,372.2222222680357,469.44444450222363,333.3333333743649,N
100_35,9998,27602.77778117505,27733.33333674667,27772.222225640344,27813.88889231214,28102.777781236586,9.940848640677938,-39.51837480285678,94.04744571130928,-29.58952418328673,5.942086620816377,4.71608826462598,-17.59410594965674,35.704246890323525,-15.715264713559526,7.583545124484269,288.8888889244445,169.4444444652945,788.8888889859845,80.55555556547188,369.44444448991635,500.0000000615364,330.5555555962419,N
100_36,10282,28416.666670164104,28522.22222573265,28561.11111462633,28605.55555907624,28916.666670225644,9.381269188589863,-41.93092920965436,105.63969211886128,-34.48549890710113,7.390827310534648,5.007993746438546,-17.15024675728559,42.87147121629431,-16.9233316492754,6.409452063398024,311.11111114940286,144.44444446222406,858.3333334389754,83.33333334359122,394.4444444929941,500.00000006154005,355.555555599316,N
100_37,10591,29269.44444804684,29377.777781393503,29419.444448065304,29463.888892515217,29758.3333369959,6.8377559489726725,-50.17850558793472,113.2997453280192,-37.458965561172114,4.400140162855447,4.947795813374169,-31.34204998813444,64.44679488295925,-26.842409913044712,8.263522741454613,294.44444448068316,150.00000001846274,841.6666667702557,86.1111111217142,380.55555560239736,488.88888894905904,338.8888889305963,N
100_38,10894,30130.555559263936,30222.222225941885,30261.11111483556,30302.777781507357,30611.11111487864,8.022756373021139,-44.24783231750073,109.33350320236336,-37.61493044282981,4.531944716617171,4.665340298384892,-23.71857965018104,62.272109214906415,-26.03292324098805,7.172782984482197,308.3333333712835,130.5555555716237,825.0000001015396,80.55555556547188,388.8888889367554,480.55555561470464,350.00000004308095,N
100_39,11191,30913.88889269368,31047.22222604342,31086.1111149371,31130.55555938701,31419.444448311457,8.23654326303985,-35.66392583337067,95.73968979583904,-31.28796776599834,6.983169285440062,3.4825271062911924,-14.726530647982829,39.20503132167827,-15.288175637059965,8.062190325025949,288.8888889244481,172.2222222434175,802.7777778765812,83.33333334358758,372.2222222680357,505.5555556177751,333.3333333743576,N
100_40,11480,31755.555559463934,31850.00000392,31888.88889281368,31930.555559485478,32233.333337300515,8.49285654558809,-40.03529871631586,104.00986082784956,-33.60523660988551,6.347097379074831,4.20096660126271,-16.925331525673094,45.482390797821104,-19.43846738179197,8.229080675835608,302.77777781503755,133.33333334974668,836.111111214017,80.55555556547915,383.3333333805167,477.77777783658166,344.444444486835,N
100_41,11781,32583.333337343596,32683.3333373559,32725.000004027697,32769.44444847761,33038.88889295522,9.055473110510096,-46.23121961951313,116.89139299905123,-39.33269332091465,5.895132532660414,6.768573729892212,-29.16092822462741,66.16712647648643,-29.004074388590656,9.072153739214537,269.44444447760907,141.66666668410107,791.6666667641002,86.11111112171056,355.55555559931963,455.5555556116233,313.8888889275222,N
100_42,12066,33338.88889299214,33477.77778189813,33516.6666707918,33561.111115241714,33838.88889305368,7.173423412783329,-33.379268830360225,89.1683477348253,-28.152620618353016,4.957994734028214,2.6627526744861942,-19.9731325786891,46.841041293012815,-19.94308432004136,6.835911107317068,277.77777781196346,177.77777779965982,788.8888889859809,83.33333334358758,361.11111115555104,500.00000006154005,322.22222226188023,N
100_43,12350,34158.33333753744,34263.888893105985,34305.55555977778,34350.000004227695,34630.55555981778,8.446487668894349,-48.34752616248269,110.89793438100116,-38.93550919030624,6.472080063223155,5.300346355190958,-18.64259575825002,45.63308863032868,-20.503716436571537,7.989432369533787,280.55555559008644,147.22222224033612,819.4444445453046,86.11111112171056,366.666666711797,472.22222228033934,325.0000000400032,N
100_44,12645,34944.4444487453,35083.33333765129,35125.00000432308,35166.66667099488,35469.44444880992,7.958542899355725,-38.65106696753755,102.69905249903556,-34.68252322900916,5.981671849366024,3.805359029580064,-19.586675398623527,42.86367342866895,-20.286956507663884,8.719315375309817,302.7777778150412,180.5555555777828,844.444444548375,83.33333334358758,386.1111111586288,525.0000000646178,344.444444486835,N
100_45,12949,35833.33333774359,35930.55555997778,35969.44444887146,36013.888893321375,36319.44444891453,7.766355714236439,-48.15459605407544,114.94128175453748,-37.57171444567222,5.994115415002382,5.01768103064683,-28.411994751453157,72.22657894874976,-27.574326869557733,8.927210756212924,305.5555555931569,136.11111112786602,880.5555556639301,83.33333334359486,388.88888893675175,486.1111111709397,350.00000004307367,N
100_46,13266,36688.88889340445,36808.3333378636,36850.00000453539,36894.444448985305,37205.55556013471,7.339977118214402,-54.006421917555485,105.38681980692644,-34.10700050715131,4.642779907126869,4.677386414448966,-31.06769345863496,58.40069184265037,-23.660620540808036,6.378076126519691,311.11111114940286,161.11111113093648,822.2222223234203,86.11111112170329,397.22222227110615,516.6666667302561,355.55555559931963,N
100_47,13562,37505.555560171626,37633.33333796513,37672.22222685881,37716.666671308725,38005.555560233166,9.955484896658032,-33.94713400066832,93.39825800883868,-30.10105000499332,5.929074417040078,4.426972593720075,-14.371044124658848,36.36397181966306,-16.03236698051259,7.411140258919381,288.88888892444083,166.66666668718244,777.7777778735035,83.33333334359486,372.2222222680357,500.00000006154005,333.3333333743576,N
100_48,13842,38313.888893604446,38408.33333806052,38450.00000473231,38488.88889362599,38783.33333810667,9.895420427256129,-38.75202755931838,103.82155290709386,-37.250336611846485,5.434174790398118,7.7222400358974035,-21.54849917440859,48.06117108508816,-23.42449639694446,7.517353658867901,294.4444444806795,136.11111112786602,802.7777778765812,80.55555556547188,375.0000000461514,469.44444450222363,333.3333333743576,N
100_49,14131,39125.00000481539,39211.1111159371,39252.77778260889,39294.44444928069,39611.11111598633,8.263902117931412,-40.26307962626859,102.23170198087152,-33.821278070983006,4.2786476860345655,5.213845920302759,-25.488119529294924,55.38949144529427,-24.89166621048028,4.611246569381788,316.66666670564155,127.77777779350436,811.1111112109502,83.33333334358758,400.00000004922913,486.1111111709397,358.33333337743534,N
100_50,14423,39936.11111602633,40025.00000492616,40063.88889381984,40108.33333826975,40402.77778275043,8.347399577950991,-35.414960420518696,89.35246506012075,-29.170545624427227,5.409050278252106,4.650216856274784,-18.172393219674547,38.400891793042526,-16.448447886152152,6.397009835098489,294.4444444806795,127.77777779351163,797.2222223203353,83.33333334359486,377.7777778242744,466.66666672410065,338.888888930589,N
100_51,14710,40719.44444945608,40822.2222272465,40861.11111614018,40905.55556059009,41202.77778284889,8.454262334693379,-36.85742561010442,95.75416889968272,-32.7883679117259,6.569598587419045,5.084523409607344,-16.06430881259543,41.54495244283351,-16.273790269996766,7.303345255042985,297.2222222588025,141.66666668409744,836.1111112140134,83.33333334358758,380.5555556023901,483.33333339280944,341.666666708712,N
100_52,15011,41550.00000511385,41658.333338460514,41697.22222735419,41741.66667180411,42036.11111628479,6.397753261769444,-41.69987472152671,102.37345543177486,-33.93555659693913,5.507606883803552,3.737277265751173,-24.08406208792205,58.628674627357945,-23.46737757427186,8.056443371821018,294.4444444806795,147.2222222403434,830.5555556577747,83.33333334359486,377.7777778242744,486.1111111709397,338.8888889305963,N
100_53,15310,42388.88889410599,42488.888894118296,42527.77778301197,42572.22222746188,42872.22222749881,8.10167002742439,-41.82050445174233,99.99452149881886,-32.15840399930374,4.550156119288927,5.3387557488183255,-23.3750728410852,55.877992880601006,-23.181762576337576,7.351319978722479,300.0000000369255,138.88888890597445,825.0000001015433,83.33333334358758,383.33333338051307,483.3333333928167,344.44444448684226,N
100_54,15607,43216.66667198565,43313.88889421983,43352.77778311351,43394.4444497853,43702.77778315658,8.568384868514496,-37.360148809633046,94.27912290412073,-31.352014459767776,5.84382127444175,3.5752278081400544,-17.54041876570754,39.851524666328565,-17.318178193415676,6.742882730380925,308.33333337128715,136.11111112785875,811.1111112109429,80.5555555654646,388.88888893675175,486.1111111709324,350.00000004307367,N
100_55,15899,43997.22222763727,44125.000005430775,44163.88889432445,44208.33333877436,44497.22222769881,8.225175210421721,-36.23165706514748,94.90385745767205,-30.474427881100244,7.083355305936225,3.9331711767728814,-15.860669062615232,41.59046849763107,-16.121955296115814,8.069957884079537,288.8888889244481,166.66666668718244,788.8888889859809,83.33333334358758,372.2222222680357,500.00000006154005,333.3333333743576,N
100_56,16183,44825.00000551693,44911.11111663864,44952.777783310434,44994.44444998223,45283.33333890667,9.462705541532504,-50.221279097228354,124.8023566957466,-47.32769632814912,5.164232598428142,6.955347007605302,-26.44288509747648,67.87851904355888,-31.88745503299002,9.951213213989188,288.88888892444083,127.77777779350436,780.5555556516192,83.33333334358758,372.2222222680284,458.333333389739,330.5555555962346,N
100_57,16464,45605.55556116855,45694.44445006838,45733.33333896205,45777.77778341197,45855.55556119932,9.818733803089334,-49.99239190616461,122.52039797445464,-44.03956579960705,4.178915482858753,7.209619896626176,-27.892257750335983,73.88154112852465,-28.814624861041477,3.3953874943659788,77.7777777873489,127.77777779350436,808.3333334328272,83.33333334358758,161.11111113093648,250.00000003077002,122.22222223726567,N
100_58,16755,46383.33333904206,46502.7777835012,46541.66667239488,46583.333339066674,46888.88889465983,8.184190359386957,-37.2999833381613,93.78284059639962,-31.044202499578805,5.112016711050125,4.679118922062987,-15.93432762922384,37.75368077862847,-16.04532545139357,6.979018757527587,305.5555555931569,158.33333335282077,841.666666770252,80.55555556547188,386.1111111586288,505.55555561777146,347.2222222649507,N
